Year,Month,R_10Y
2009,September,2.65
2009,October,2.54
2009,November,2.76
2009,December,3.29
2010,January,3.39
2010,February,3.58
2010,March,3.41
2010,April,3.46
2010,May,3.17
2010,June,3
2010,July,3
2010,August,2.3
2010,September,1.98
2010,October,2.15
2010,November,2.01
2010,December,1.98
2011,January,1.97
2011,February,1.97
2011,March,2.17
2011,April,2.05
2011,May,1.8
2011,June,1.62
2011,July,1.53
2011,August,1.68
2011,September,1.72
2011,October,1.75
2011,November,1.65
2011,December,1.72
