Respondent id number,Region of interview,Rs religious preference,Was r's work part-time or full-time?,Sexual orientation,Rs income in constant $,Hispanic specified,Race of household,Ballot used for interview,R's socioeconomic index (2010),Rs family income when 16 yrs old,Race of respondent,Respondents sex,Number of hours worked last week,R self-emp or works for somebody,Marital status,Number of children,Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Total family income
38,Middle atlantic,Protestant,Full-time,Not applicable,25740,Not hispanic,White,Ballot a,80.9,Below average,White,Female,40,Someone else,Married,2,43,16,Not applicable,16,16,$110000 to $129999
39,Middle atlantic,Protestant,Full-time,Heterosexual or straight,56160,Not hispanic,White,Ballot c,83.8,Average,White,Female,65,Someone else,Never married,0,58,16,16,16,Not applicable,$110000 to $129999
40,Middle atlantic,Jewish,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,38.3,Below average,White,Female,Not applicable,Someone else,Widowed,1,79,14,Don't know,Not applicable,Not applicable,$30000 to 34999
41,Middle atlantic,Protestant,Full-time,Heterosexual or straight,8775,Not hispanic,White,Ballot c,39.7,Average,White,Female,39,Someone else,Never married,1,40,12,Not applicable,16,Not applicable,$40000 to 49999
42,Middle atlantic,Catholic,Not applicable,Not applicable,0,Dominican,"Other, mixed",Ballot a,21.8,Average,Other,Female,10,Someone else,Married,2,44,12,Not applicable,8,15,$35000 to 39999
43,Middle atlantic,None,Part-time,Dont know,0,Not hispanic,"Asiatic, oriental",Ballot b,35.8,Average,Other,Female,6,Someone else,Married,2,68,16,14,16,16,$90000 to $109999
44,Middle atlantic,None,Part-time,Heterosexual or straight,15210,Not hispanic,White,Ballot c,82.7,Above average,White,Female,45,Someone else,Never married,0,36,20,20,17,Not applicable,$30000 to 34999
45,Middle atlantic,Jewish,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,24.2,Average,White,Male,Not applicable,Someone else,Divorced,0,70,17,Don't know,Don't know,Not applicable,$12500 to 14999
46,Middle atlantic,None,Full-time,Heterosexual or straight,38610,Not hispanic,Don't know,Ballot c,83.4,Far below average,White,Male,45,Someone else,Never married,0,28,15,12,16,Not applicable,$75000 to $89999
47,Middle atlantic,Catholic,Full-time,Heterosexual or straight,0,Not hispanic,Black,Ballot b,80.2,Average,Black,Female,44,Someone else,Never married,0,35,16,12,12,Not applicable,Refused
48,Middle atlantic,None,Full-time,Not applicable,25740,Not hispanic,White,Ballot a,86.8,Average,Other,Male,40,Someone else,Married,0,33,16,16,12,19,$50000 to 59999
49,Middle atlantic,Jewish,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,-1,Above average,White,Male,Not applicable,Not applicable,Never married,0,23,17,20,18,Not applicable,$30000 to 34999
50,Middle atlantic,Protestant,Full-time,Heterosexual or straight,56160,Not hispanic,White,Ballot b,91.1,Average,White,Female,50,Someone else,Divorced,0,47,16,Not applicable,18,Not applicable,$110000 to $129999
51,Middle atlantic,None,Full-time,Heterosexual or straight,0,Not hispanic,"Asiatic, oriental",Ballot b,43,Above average,Other,Female,50,Someone else,Never married,0,25,16,18,16,Not applicable,$130000 to $149999
52,Middle atlantic,Jewish,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,24.6,Average,White,Female,Not applicable,Someone else,Married,2,70,12,12,12,16,$75000 to $89999
53,Middle atlantic,Catholic,Part-time,Heterosexual or straight,936,Not hispanic,White,Ballot b,36.8,Above average,White,Male,20,Someone else,Never married,0,20,13,16,16,Not applicable,Don't know
54,Middle atlantic,Catholic,Full-time,Heterosexual or straight,164382.0376,Not hispanic,White,Ballot c,91.1,Far above average,White,Male,45,Someone else,Married,2,41,19,14,12,19,$170000 or over
55,Middle atlantic,Catholic,Part-time,Not applicable,2574,Not hispanic,White,Ballot a,55.3,Above average,White,Female,4,Someone else,Married,3,53,16,12,12,16,Refused
56,Middle atlantic,Catholic,Part-time,Heterosexual or straight,21060,Spanish,White,Ballot b,20.1,Average,White,Female,35,Self-employed,Married,2,42,16,14,12,16,$150000 to $169999
57,Middle atlantic,Jewish,Full-time,Heterosexual or straight,11115,Not hispanic,White,Ballot b,41.1,Average,White,Female,40,Someone else,Divorced,3,40,17,16,14,Not applicable,$75000 to $89999
58,Middle atlantic,Jewish,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,39.7,Above average,White,Female,40,Someone else,Divorced,2,57,17,16,18,Not applicable,$60000 to 74999
59,Middle atlantic,Jewish,Part-time,Heterosexual or straight,4212,Not hispanic,White,Ballot c,84.5,Above average,White,Female,40,Someone else,Divorced,2,59,20,20,20,Not applicable,$8 000 to 9 999
60,Middle atlantic,Catholic,Part-time,Not applicable,3042,Puerto rican,Don't know,Ballot a,21.6,Average,White,Female,Not applicable,Someone else,Never married,3,35,10,Not applicable,9,Not applicable,$12500 to 14999
61,Middle atlantic,Protestant,Full-time,Heterosexual or straight,9945,Not hispanic,Black,Ballot c,29.5,Average,Black,Male,37,Someone else,Never married,0,26,13,Not applicable,14,Not applicable,$20000 to 22499
62,Middle atlantic,Protestant,Full-time,Heterosexual or straight,0,Not hispanic,Black,Ballot b,39.9,Far below average,Black,Male,Not applicable,Someone else,Widowed,2,35,12,18,Don't know,Not applicable,Under $1 000
63,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot c,-1,Average,Black,Female,Not applicable,Not applicable,Separated,3,51,12,Not applicable,12,Not applicable,$8 000 to 9 999
64,Middle atlantic,Protestant,Full-time,Heterosexual or straight,9945,Not hispanic,Black,Ballot b,34.7,Average,Black,Female,Not applicable,Someone else,Divorced,3,39,13,12,12,Not applicable,$25000 to 29999
65,Middle atlantic,Protestant,Not applicable,Not applicable,0,Honduran,"Other, mixed",Ballot a,-1,Don't know,Other,Female,Not applicable,Not applicable,Never married,2,27,11,Not applicable,6,Not applicable,$1 000 to 2 999
66,Middle atlantic,Catholic,Full-time,Heterosexual or straight,12870,Puerto rican,"Other, mixed",Ballot c,23.3,Below average,Other,Male,40,Someone else,Never married,2,30,10,12,16,Not applicable,$30000 to 34999
67,Middle atlantic,None,Full-time,Heterosexual or straight,11115,Puerto rican,"Other, mixed",Ballot b,32.6,Average,Other,Male,40,Someone else,Never married,2,29,12,Not applicable,11,Not applicable,$22500 to 24999
68,Middle atlantic,None,Not applicable,Not applicable,0,Not hispanic,Black,Ballot a,24.2,Far below average,Black,Female,Not applicable,Someone else,Never married,6,39,10,Not applicable,Not applicable,Not applicable,Under $1 000
69,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot a,24.2,Far below average,Black,Female,Not applicable,Someone else,Divorced,3,60,11,4,Not applicable,Not applicable,Don't know
70,Middle atlantic,Catholic,Not applicable,Not applicable,0,Puerto rican,"Other, mixed",Ballot a,-1,Average,Other,Female,Not applicable,Not applicable,Widowed,4,74,6,Don't know,Don't know,Not applicable,$17500 to 19999
71,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot a,21.8,Far below average,Black,Female,Not applicable,Someone else,Never married,5,74,10,0,0,Not applicable,$12500 to 14999
72,Middle atlantic,Protestant,Full-time,Not applicable,38610,Not hispanic,Black,Ballot a,73.2,Far below average,Black,Female,35,Someone else,Divorced,2,57,14,14,18,Not applicable,$90000 to $109999
73,Middle atlantic,None,Not applicable,Not applicable,0,Not hispanic,Black,Ballot b,58.1,Far above average,Black,Male,Not applicable,Someone else,Widowed,1,80,11,Don't know,16,Not applicable,$50000 to 59999
74,Middle atlantic,None,Not applicable,Heterosexual or straight,0,Panamanian,Black,Ballot b,70.5,Below average,Black,Male,Not applicable,Someone else,Divorced,4,70,12,Not applicable,8,Not applicable,$22500 to 24999
75,Middle atlantic,None,Part-time,Not applicable,21060,Not hispanic,Black,Ballot a,84.2,Above average,Black,Female,14,Someone else,Married,2,35,18,14,8,12,$75000 to $89999
76,Middle atlantic,Catholic,Not applicable,Not applicable,0,Not hispanic,Black,Ballot b,-1,Below average,Black,Female,Not applicable,Not applicable,Never married,4,49,10,Not applicable,Don't know,Not applicable,Don't know
77,Middle atlantic,Protestant,Part-time,Not applicable,25740,Not hispanic,White,Ballot a,55.1,Above average,White,Female,50,Someone else,Never married,0,36,20,20,18,Not applicable,$50000 to 59999
78,Middle atlantic,Protestant,Full-time,Not applicable,31590,Not hispanic,Black,Ballot a,72.7,Average,Black,Female,40,Someone else,Never married,0,37,18,20,18,Not applicable,$60000 to 74999
79,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,67.7,Average,White,Female,Not applicable,Self-employed,Widowed,0,78,19,19,16,Not applicable,$170000 or over
80,Middle atlantic,None,Part-time,Not applicable,0,Not hispanic,"Other, mixed",Ballot c,24.2,Don't know,Black,Male,37,Someone else,Never married,0,41,12,Don't know,12,Not applicable,Refused
81,Middle atlantic,None,Full-time,Not applicable,74880,Not hispanic,"Asiatic, oriental",Ballot a,83.8,Far below average,Other,Male,45,Someone else,Married,2,42,14,9,9,14,$170000 or over
82,Middle atlantic,None,Full-time,Bisexual,31590,Not hispanic,White,Ballot c,32.6,Below average,White,Female,60,Someone else,Separated,1,35,14,Not applicable,13,Not applicable,$60000 to 74999
83,Middle atlantic,Catholic,Full-time,Not applicable,56160,Not hispanic,White,Ballot a,65.1,Average,White,Male,48,Someone else,Married,1,33,16,16,14,14,$150000 to $169999
84,Middle atlantic,Catholic,Full-time,Heterosexual or straight,38610,Not hispanic,White,Ballot c,25.2,Average,White,Male,40,Someone else,Divorced,3,44,12,12,12,Not applicable,$150000 to $169999
85,Middle atlantic,Protestant,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,61.9,Average,White,Male,46,Someone else,Married,3,41,16,12,14,14,$60000 to 74999
86,Middle atlantic,None,Full-time,Not applicable,21060,Not hispanic,White,Ballot a,55.3,Average,White,Male,48,Someone else,Divorced,2,52,12,12,12,Not applicable,$40000 to 49999
87,Middle atlantic,Protestant,Full-time,Heterosexual or straight,38610,Not hispanic,White,Ballot b,81.9,Below average,White,Female,40,Someone else,Never married,0,45,16,12,12,Not applicable,$75000 to $89999
88,Middle atlantic,Catholic,Full-time,Not applicable,11115,Dominican,"Other, mixed",Ballot a,20.7,Below average,Other,Female,50,Someone else,Divorced,1,41,13,12,0,Not applicable,$22500 to 24999
89,Middle atlantic,Catholic,Full-time,Heterosexual or straight,8775,Dominican,"Other, mixed",Ballot c,14,Far below average,White,Female,40,Someone else,Separated,3,41,12,1,6,Not applicable,$22500 to 24999
90,Middle atlantic,Jewish,Not applicable,Not applicable,0,Not hispanic,White,Ballot c,58.4,Average,White,Male,Not applicable,Someone else,Never married,0,68,12,14,11,Not applicable,Don't know
91,Middle atlantic,None,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot b,24.2,Below average,Black,Female,Not applicable,Someone else,Never married,3,57,12,12,14,Not applicable,$22500 to 24999
92,Middle atlantic,None,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot c,56.3,Average,Black,Male,Not applicable,Someone else,Married,3,72,20,Not applicable,12,18,$130000 to $149999
93,Middle atlantic,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,67.7,Average,White,Male,Not applicable,Someone else,Divorced,0,68,19,8,6,Not applicable,$25000 to 29999
94,Middle atlantic,None,Full-time,Heterosexual or straight,46800,Not hispanic,White,Ballot c,86.6,Below average,White,Male,40,Someone else,Never married,0,50,16,Not applicable,14,Not applicable,$90000 to $109999
95,Middle atlantic,Other,Full-time,"Gay, lesbian, or homosexual",65520,Not hispanic,White,Ballot c,57.8,Average,White,Male,70,Someone else,Never married,0,40,17,13,14,Not applicable,$130000 to $149999
96,Middle atlantic,Protestant,Full-time,"Gay, lesbian, or homosexual",25740,Not hispanic,White,Ballot b,60.1,Above average,White,Male,No answer,Self-employed,Never married,0,58,15,8,12,Not applicable,$50000 to 59999
97,Middle atlantic,Catholic,Part-time,"Gay, lesbian, or homosexual",9945,"Mexican, mexican american, chicano/a",White,Ballot b,27.6,Average,White,Male,Don't know,Self-employed,Never married,0,43,16,Not applicable,16,Not applicable,$20000 to 22499
98,Middle atlantic,Protestant,Full-time,Heterosexual or straight,3042,Not hispanic,Black,Ballot b,61.4,Below average,Black,Male,45,Someone else,Never married,0,25,16,20,16,Not applicable,$6 000 to 6 999
99,Middle atlantic,None,Full-time,Heterosexual or straight,4212,Not hispanic,"Asiatic, oriental",Ballot c,92.8,Average,Other,Male,40,Someone else,Never married,0,33,20,16,16,Not applicable,$35000 to 39999
100,Middle atlantic,None,Part-time,Not applicable,31590,Not hispanic,White,Ballot c,38.8,Above average,White,Male,30,Self-employed,Never married,0,27,16,Not applicable,16,Not applicable,$170000 or over
101,Middle atlantic,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,Black,Ballot c,56.8,Far below average,Black,Female,37,Someone else,Married,2,58,16,Not applicable,7,16,$50000 to 59999
102,Middle atlantic,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,43,Average,White,Female,Not applicable,Someone else,Married,4,66,12,12,12,12,$110000 to $129999
103,Middle atlantic,Catholic,Not applicable,Not applicable,0,Not hispanic,"Other, mixed",Ballot a,28.7,Average,White,Male,Not applicable,Someone else,Separated,0,66,12,12,12,Not applicable,$1 000 to 2 999
104,Middle atlantic,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot c,43.9,Average,White,Female,Not applicable,Someone else,Widowed,2,89 or older,12,8,4,Not applicable,Don't know
105,Middle atlantic,Catholic,Full-time,Heterosexual or straight,0,Puerto rican,White,Ballot c,67.7,Average,Other,Female,42,Someone else,Married,2,29,14,Not applicable,14,16,$60000 to 74999
106,Middle atlantic,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,13.2,Far below average,White,Female,Not applicable,Someone else,Never married,0,89 or older,8,Don't know,3,Not applicable,$12500 to 14999
107,Middle atlantic,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,38.3,Average,White,Female,Not applicable,Someone else,Never married,0,78,12,8,9,Not applicable,$30000 to 34999
108,Middle atlantic,Catholic,Not applicable,Not applicable,0,Puerto rican,White,Ballot a,26.1,Below average,White,Female,Not applicable,Someone else,Never married,3,52,12,Not applicable,4,Not applicable,$10000 to 12499
109,Middle atlantic,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,32,Average,White,Male,Not applicable,Someone else,Never married,0,50,11,Not applicable,10,Not applicable,$12500 to 14999
110,Middle atlantic,Protestant,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,41.8,Average,White,Female,4,Someone else,Married,1,25,16,16,14,13,$35000 to 39999
111,Middle atlantic,Catholic,Full-time,Not applicable,65520,Not hispanic,"Other, mixed",Ballot a,37.6,Above average,White,Male,40,Someone else,Married,2,37,16,16,12,18,$130000 to $149999
112,Middle atlantic,Jewish,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,76.3,Average,White,Female,50,Someone else,Divorced,2,54,16,16,12,Not applicable,Refused
113,Middle atlantic,Moslem/islam,Full-time,Not applicable,0,Not hispanic,"Asiatic, oriental",Ballot a,28.5,No answer,Other,Male,51,Self-employed,Married,3,52,14,Not applicable,0,No answer,Refused
114,Middle atlantic,Catholic,Full-time,Heterosexual or straight,46800,Columbian,White,Ballot b,24,Above average,White,Male,35,Someone else,Married,0,48,14,12,10,16,$170000 or over
115,Middle atlantic,Hinduism,Full-time,Heterosexual or straight,0,Not hispanic,"Asiatic, oriental",Ballot b,92.8,Above average,Other,Female,60,Someone else,Married,0,32,20,18,18,12,Refused
116,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,60.3,Far below average,White,Female,15,Self-employed,Married,0,29,17,14,17,16,Under $1 000
117,Middle atlantic,Jewish,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,54.1,Below average,White,Female,Not applicable,Someone else,Married,3,75,19,12,12,17,$110000 to $129999
118,Middle atlantic,Catholic,Full-time,"Gay, lesbian, or homosexual",164382.0376,Not hispanic,"Other, mixed",Ballot b,83.4,Below average,White,Female,45,Self-employed,Married,0,59,19,11,11,16,$170000 or over
119,Middle atlantic,Jewish,Not applicable,Heterosexual or straight,0,Not hispanic,"Other, mixed",Ballot c,56.9,Average,White,Male,Not applicable,Self-employed,Married,2,81,13,12,12,19,$75000 to $89999
120,Middle atlantic,Catholic,Not applicable,"Gay, lesbian, or homosexual",0,Not hispanic,White,Ballot b,45.1,Below average,White,Female,Not applicable,Someone else,Married,3,69,12,Don't know,Don't know,12,Refused
121,Middle atlantic,Protestant,Full-time,Not applicable,56160,Not hispanic,White,Ballot a,82.5,Average,White,Female,40,Someone else,Married,2,55,18,Not applicable,12,18,$170000 or over
122,Middle atlantic,Catholic,Part-time,Heterosexual or straight,8775,Not hispanic,White,Ballot c,25.7,Below average,White,Female,20,Someone else,Never married,0,52,15,Not applicable,Don't know,Not applicable,$75000 to $89999
123,Middle atlantic,Catholic,Full-time,Heterosexual or straight,0,South american,White,Ballot c,38.3,Don't know,White,Female,25,Someone else,Never married,1,33,16,12,12,Not applicable,Refused
124,Middle atlantic,Catholic,Full-time,Not applicable,56160,Not hispanic,White,Ballot a,67.7,Average,White,Male,40,Self-employed,Divorced,2,56,12,10,Not applicable,Not applicable,$170000 or over
125,Middle atlantic,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,80.9,Average,White,Male,Not applicable,Someone else,Married,2,71,16,12,12,16,$90000 to $109999
126,Middle atlantic,Catholic,Full-time,Heterosexual or straight,0,Dominican,White,Ballot b,-1,Above average,White,Male,Not applicable,Not applicable,Never married,0,21,15,Not applicable,16,Not applicable,$170000 or over
127,Middle atlantic,Catholic,Full-time,Not applicable,46800,Not hispanic,White,Ballot a,46.5,Below average,White,Female,40,Someone else,Married,3,49,12,12,12,12,$130000 to $149999
128,Middle atlantic,Protestant,Full-time,Heterosexual or straight,38610,Not hispanic,White,Ballot c,67.7,Above average,White,Male,50,Someone else,Never married,0,26,16,16,16,Not applicable,$170000 or over
129,Middle atlantic,Catholic,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,72.7,Above average,White,Female,40,Someone else,Never married,0,33,16,16,15,Not applicable,$60000 to 74999
130,Middle atlantic,Catholic,Full-time,Not applicable,31590,Columbian,"Other, mixed",Ballot a,39.7,Below average,White,Male,65,Someone else,Married,0,36,20,12,12,17,$110000 to $129999
131,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot b,31.6,Below average,Black,Male,Not applicable,Someone else,Widowed,0,68,12,Not applicable,9,Not applicable,$60000 to 74999
132,Middle atlantic,Catholic,Full-time,Not applicable,31590,Not hispanic,"Other, mixed",Ballot a,64.2,Below average,Black,Female,40,Someone else,Never married,2,27,16,Not applicable,14,Not applicable,$60000 to 74999
133,Middle atlantic,Christian,Full-time,Heterosexual or straight,2106,Not hispanic,Black,Ballot c,52,Average,Black,Female,Not applicable,Someone else,Never married,1,60,14,12,16,Not applicable,$12500 to 14999
134,Middle atlantic,Jewish,Full-time,Not applicable,25740,Not hispanic,White,Ballot a,38.2,Above average,White,Male,52,Someone else,Never married,0,48,12,16,14,Not applicable,$50000 to 59999
135,Middle atlantic,Protestant,Full-time,Heterosexual or straight,21060,Not hispanic,Black,Ballot c,54.6,Above average,Black,Female,50,Someone else,Married,3,47,12,9,Not applicable,12,$50000 to 59999
136,Middle atlantic,Catholic,Full-time,Not applicable,0,Not hispanic,White,Ballot a,37.8,Above average,White,Female,40,Someone else,Never married,0,36,14,8,12,Not applicable,Refused
137,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot b,38.3,Average,White,Female,Not applicable,Someone else,Widowed,2,89 or older,12,Don't know,Don't know,Not applicable,$15000 to 17499
138,New england,Protestant,Part-time,Heterosexual or straight,936,Not hispanic,"Other, mixed",Ballot c,59.9,Average,White,Female,Not applicable,Someone else,Separated,2,64,12,11,12,Not applicable,$12500 to 14999
139,New england,None,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,38.8,Average,White,Female,50,Someone else,Never married,0,38,16,14,12,Not applicable,$150000 to $169999
