county,district,grspan,enrltot,teachers,calwpct,mealpct,computer,compstu,expnstu,str,avginc,elpct,testscr
Kern,Edison Elementary,KK-08,814,39,19.77890015,67.44470215,85,0.104422607,4518.016113,20.87179565,15.17700005,13.75921345,630.40
Kern,Bakersfield City Elementary,KK-08,27176,1429,39.21839905,84.29499817,3324,0.122313805,5864.366211,19.0174942,12.109128,28.86370468,630.55
Santa Clara,Franklin-McKinley Elementary,KK-08,10696,487.9700012,22.15780067,70.89569855,1306,0.122101717,5257.996582,21.91938019,11.78499985,52.80478668,630.55
Los Angeles,Hawthorne Elementary,KK-08,8935,444.5,36.94509888,79.51200104,786,0.087968662,5016.692383,20.10123825,14.06200027,44.08506012,631.05
Madera,Chowchilla Elementary,KK-08,1600,74.5,27.26140022,79.72550201,242,0.151250005,4720.086426,21.476511,10.47200012,35.25,631.40
Monterey,Salinas City Elementary,KK-06,9028,449.9200134,13.98849964,69.94249725,669,0.074102789,5470.5625,20.06578827,13.40511703,37.49446106,631.85
Santa Barbara,Santa Maria-Bonita Elementary,KK-08,10625,521.4699707,7.497499943,77.52559662,896,0.084329411,5615.441895,20.37509537,12.30179977,50.39059067,631.90
Los Angeles,Whittier City Elementary,KK-08,7151,318.5799866,18.54809952,61.73820114,560,0.078310728,5245.439941,22.4464817,15.40407085,31.07257843,631.95
Los Angeles,Eastside Union Elementary,KK-08,2404,105,20.92740059,52.94350052,202,0.08402662,4838.175293,22.89523888,13.76200008,18.26123238,632.00
Los Angeles,Lawndale Elementary,KK-08,5804,283.1499939,28.34250069,81.11650085,480,0.082701586,5367.988281,20.49797058,14.18400002,34.70020676,632.20
Sacramento,Robla Elementary,KK-06,2253,112.6500015,43.49760056,84.55390167,196,0.086995117,5526.236816,20,8.864999771,33.28894806,632.25
Monterey,Santa Rita Union Elementary,KK-08,2807,126.1200027,15.45950031,52.39640045,152,0.054150339,4353.019531,22.25658035,12.99699974,33.48770905,632.45
Ventura,Rio Elementary,KK-08,3074,142.5500031,11.28979969,66.19490051,249,0.081001952,5034.290039,21.56436348,11.59200001,38.15875244,632.85
Tulare,Strathmore Union Elementary,KK-08,723,37.11999893,25.92110062,83.15789795,45,0.062240664,4692.493652,19.47737122,8.279000282,36.92946243,632.95
Sacramento,North Sacramento Elementary,KK-06,5138,290.7749939,58.75220108,84.99900055,560,0.108991824,5606.781738,17.67002106,10.90564251,32.98949051,633.05
Orange,Anaheim Elementary,KK-06,20927,953.5,10.91139984,82.39260101,1048,0.050078847,4969.180664,21.94756126,13.40062523,58.21665573,633.15
Kings,Lemoore Union Elementary,KK-08,3017,138.5,14.97679996,56.06359863,496,0.164401725,4675.674805,21.78339386,11.08100033,17.00364685,633.65
Kings,Armona Union Elementary,KK-08,957,50,27.16819954,82.13169861,149,0.155694887,5306.132813,19.13999939,9.081999779,17.65935326,633.90
Kern,Beardsley Elementary,KK-08,1639,90.5,46.88819885,80.60420227,287,0.175106779,5693.883301,18.11049652,13.39000034,7.321537495,634.00
Los Angeles,South Whittier Elementary,KK-08,4340,209.8399963,17.70260048,93.92269897,284,0.065437786,5181.57959,20.68242455,14.60162544,31.19815636,634.05
Kings,Hanford Elementary,KK-08,5079,224.5,25.55929947,63.80360031,585,0.115180157,5228.650879,22.62360764,11.11600018,16.61744499,634.10
San Diego,National Elementary,KK-06,6639,304.730011,26.84140015,100,505,0.076065674,5339.391113,21.78649902,8.423000336,58.08103561,634.10
Sonoma,Roseland Elementary,KK-06,1154,62.09999847,22.92770004,84.92060089,129,0.111785099,6056.49707,18.58293152,11.66499996,55.89254379,634.15
Kern,Di Giorgio Elementary,KK-08,237,11,19.83119965,76.79319763,13,0.054852322,4845.680176,21.54545403,7.304999828,5.485232353,634.20
Los Angeles,Keppel Union Elementary,KK-08,2987,141.2100067,21.25880051,68.39640045,273,0.091396049,4826.666016,21.15289116,13.7305994,14.4291935,634.40
Kings,Lakeside Union Elementary,KK-08,499,30,40.36700058,83.11930084,94,0.188376755,5367.090332,16.63333321,11.11600018,22.84569168,634.55
Merced,Merced City Elementary,KK-08,11474,542.6500244,40.55260086,77.0089035,1248,0.108767651,5742.73291,21.14438248,10.36442852,38.78333664,634.70
Santa Barbara,Guadalupe Union Elementary,KK-08,1088,55,14.15439987,86.02940369,107,0.098345585,4136.250977,19.78181839,6.982999802,64.24632263,634.90
San Bernardino,Cucamonga Elementary,KK-08,2660,140.1199951,15.76010036,74.85099792,259,0.097368419,5267.831055,18.98372841,14.46780014,25.22556496,634.95
Contra Costa,Knightsen Elementary,KK-08,353,19.97999954,8.672100067,33.06230164,8,0.022662889,5238.39209,17.66766739,14.65299988,5.382436275,635.05
Humboldt,Rio Dell Elementary,KK-08,329,18.53000069,28.91570091,85.54219818,37,0.112462007,5462.899414,17.75499153,10.62899971,6.079027653,635.20
Siskiyou,Montague Elementary,KK-08,252,16.5,23.45680046,66.25509644,32,0.126984134,6313.373535,15.27272701,9.781000137,0,635.45
Siskiyou,McCloud Union Elementary,KK-08,175,12.5,21.76469994,68.82350159,31,0.177142859,6653.030762,14,10.65600014,0,635.60
Ventura,Santa Paula Elementary,KK-08,3835,186.1999969,13.99110031,72.8628006,897,0.233898312,5533.149414,20.59613419,11.93799973,34.88917923,635.60
Fresno,West Park Elementary,KK-08,314,19.25,29.93630028,93.63059998,8,0.025477707,6118.710449,16.31168747,7.385000229,13.05732441,635.75
Merced,Atwater Elementary,KK-08,4458,211,22.22220039,72.32080078,445,0.099820547,5098.626953,21.12796211,10.67599964,36.0251236,635.95
Merced,Weaver Union Elementary,KK-08,1313,75.08000183,32.08679962,73.59760284,112,0.08530084,5652.878906,17.48801231,9.972000122,34.65346527,636.10
Fresno,Pacific Union Elementary,KK-08,474,26.5,21.5189991,75.73840332,36,0.075949363,5329.002441,17.88679314,8.258000374,28.69198227,636.50
San Bernardino,Lucerne Valley Unified,KK-08,1114,57.70000076,29.44680023,62.21279907,277,0.248653501,5929.809082,19.30675888,8.895999908,1.795332193,636.60
Riverside,Romoland Elementary,KK-06,1358,65,14.79030037,80.86830139,178,0.131075114,4897.067871,20.89230728,12.06200027,30.63328552,636.70
Los Angeles,El Monte City Elementary,KK-08,11629,546.2999878,25.37940025,83.873703,1015,0.087281793,5100.202148,21.28683853,9.428894997,59.0334549,636.90
Kern,Greenfield Union Elementary,KK-08,6195,306.75,21.04330063,68.57189941,1261,0.203551248,4825.722656,20.1955986,8.920332909,13.55932236,636.95
Tulare,Palo Verde Union Elementary,KK-08,499,20,23.69939995,80.92489624,35,0.07014028,4079.12915,24.95000076,10.09799957,5.010019779,637.00
Sacramento,Elverta Joint Elementary,KK-08,417,23,19.90410042,46.04320145,27,0.064748198,5349.367676,18.13043404,11.82999992,0.959232628,637.10
Lake,Lucerne Elementary,KK-08,300,15,48.3443985,72.18540192,55,0.183333337,5869.38916,20,11.55300045,0.666666687,637.35
Santa Clara,Luther Burbank Elementary,KK-08,457,24.39999962,16.81609917,67.71299744,50,0.109409191,6462.12793,18.72950935,19.70700073,38.51203537,637.65
Butte,Bangor Union Elementary,KK-08,146,8,25.34250069,54.10960007,34,0.232876718,6231.601563,18.25,7.105000019,0,637.95
San Mateo,Bayshore Elementary,KK-08,460,24.21999931,10.59319973,66.94920349,71,0.154347822,4993.867676,18.99256897,13.72500038,17.17391396,637.95
Tulare,Oak Valley Union Elementary,KK-08,354,17.79999924,10.27779961,59.72219849,28,0.079096042,4663.811035,19.88764191,10.09799957,9.887005806,638.00
Los Angeles,Wilsona Elementary,KK-08,1841,95,25.25799942,64.74739838,315,0.171102658,6107.106445,19.37894821,13.76200008,19.39163589,638.20
Imperial,Brawley Elementary,KK-08,3760,183.75,26.90159988,65.7960968,717,0.190691486,5324.228027,20.46258545,9.664999962,36.48936081,63830
Imperial,Meadows Union Elementary,KK-08,500,22.43000031,18.79999924,83,70,0.140000001,5221.460938,22.29157257,10.26399994,39.39999771,638.30
Los Angeles,Little Lake City Elementary,KK-08,5112,246.8999939,10.69120026,59.7234993,383,0.07492175,5157.784668,20.70473862,11.56920052,28.67762184,638.35
Kern,Pond Union Elementary,KK-08,146,7.659999847,13.69859982,66.43840027,28,0.19178082,5131.119141,19.06005287,7.40500021,13.69863033,638.55
Kern,Taft City Elementary,KK-08,2141,105.8199997,26.49650002,65.38279724,134,0.062587574,5279.354004,20.23246956,12.07699966,11.34983635,638.70
Sutter,Brittan Elementary,KK-08,610,30.97999954,8.524600029,56.06560135,144,0.236065567,4704.043945,19.6901226,11.28299999,3.442623138,639.25
Mendocino,Arena Union Elementary,KK-08,337,16.54999924,21.26250076,60.13290024,26,0.077151336,6089.910645,20.36253929,10.03499985,15.43026733,639.30
San Bernardino,Adelanto Elementary,KK-08,4501,227.8500061,19.12969971,63.9054985,597,0.132637188,5356.833496,19.75422287,8.383999825,17.97378349,639.35
San Benito,Hollister School District,KK-08,5718,295.0499878,6.84070015,37.04560089,313,0.054739419,5144.549316,19.37976646,13.63000011,22.71773338,639.50
Los Angeles,Palmdale Elementary,KK-08,19402,846.3800049,20.52370071,51.24209976,1182,0.060921554,4906.22998,22.9235096,14.12766743,18.43624496,639.75
Butte,Oroville City Elementary,KK-08,3401,175.5500031,52.21989822,74.27230072,560,0.164657459,5489.588867,19.37339783,11.26612473,16.17171478,639.80
Kern,Standard Elementary,KK-08,2621,136.8300018,25.82979965,64.09770203,397,0.151468903,5718.55127,19.15515518,13.39000034,2.02212882,639.85
Ventura,Briggs Elementary,KK-08,426,20,3.990600109,64.78869629,87,0.204225346,4436.152832,21.29999924,11.93799973,9.62441349,639.90
Fresno,Monroe Elementary,KK-08,205,11.19999981,18.53660011,80.9756012,24,0.117073171,4895.439453,18.3035717,8.258000374,41.46341324,640.10
Los Angeles,Lancaster Elementary,KK-08,13668,648.4099731,28.1753006,56.29940033,1321,0.09664911,5159.21875,21.07925606,14.22672749,9.8990345,640.15
Madera,Alview-Dairyland Union Elementary,KK-08,342,18.20000076,11.39599991,68.09120178,98,0.286549717,5490.654785,18.79120827,10.47200012,16.08187103,640.50
Orange,Magnolia Elementary,KK-06,6518,332.1000061,12.27910042,71.02380371,499,0.076557226,5172.019531,19.62661743,14.24290085,43.4949379,640.75
Tulare,Liberty Elementary,KK-08,239,12.19999981,15.61180019,69.62030029,30,0.125523016,4441.672852,19.59016418,14.06599998,8.786610603,640.90
Santa Clara,Mt. Pleasant Elementary,KK-08,2911,139.4700012,11.92850018,52.9734993,281,0.0965304,5220.370117,20.87187195,15.96800041,39.02438736,641.10
Imperial,El Centro Elementary,KK-08,6272,297.0400085,28.71999931,71.76239777,1338,0.213329077,5252.810547,21.11500168,10.26399994,53.89030457,641.45
San Diego,South Bay Union Elementary,KK-06,10218,508.75,17.42020035,70.80639648,1435,0.140438437,5518.702148,20.08452034,10.6024704,41.13329315,641.45
Shasta,Cascade Union Elementary,KK-08,1735,87.13999939,47.2621994,75.50430298,222,0.127953887,5609.487793,19.91048813,10.52299976,1.383285284,641.55
Tulare,Kings River Union Elementary,KK-08,474,26.61000061,20.67510033,82.06749725,96,0.202531651,4945.031738,17.81285095,11.23799992,35.44303894,641.80
Tehama,Gerber Union Elementary,KK-08,544,30,20.55050087,74.86239624,145,0.266544104,5223.025391,18.13333321,10.05599976,8.639705658,642.20
Tulare,Exeter Union Elementary,KK-08,1987,103.3700027,15.28120041,54.65409851,283,0.142425761,4757.025391,19.22221184,11.18299961,15.34977436,642.20
Fresno,American Union Elementary,KK-08,418,22.39999962,10.69649982,63.43280029,50,0.119617224,5522.161621,18.6607151,7.385000229,19.85645866,642.40
Monterey,San Antonio Union Elementary,KK-08,196,10,19.68910027,47.15029907,40,0.20408164,6087.608887,19.60000038,13.57900047,3.061224461,642.75
Tulare,Burton Elementary,KK-08,2208,114.5,14.41399956,53.21060181,92,0.041666668,4960.515625,19.28384209,9.630000114,9.873188019,643.05
Riverside,Nuview Union Elementary,KK-08,1255,55,11.32219982,44.25970078,165,0.131474108,4880.040527,22.81818199,15.27400017,16.09561729,643.20
Sonoma,Bellevue Union Elementary,KK-06,1469,78.09999847,20.96660042,80.25869751,65,0.044247787,6538.417969,18.80921936,14.03425026,43.49897766,643.25
Los Angeles,Garvey Elementary,KK-08,7114,332.8399963,34.59420013,82.57219696,680,0.095586166,4925.659668,21.37363243,10.23966694,45.03795242,643.40
Tehama,Corning Union Elementary,KK-08,1962,98,24.4151001,67.75180054,170,0.086646281,5204.6875,20.02040863,9.484999657,18.19571877,643.40
San Mateo,Jefferson Elementary,KK-08,7761,361,6.49119997,44.47660065,658,0.084782891,4907.410645,21.49861526,15.0298748,15.48769474,643.50
Siskiyou,Big Springs Union Elementary,KK-08,216,14,9.416999817,48.87889862,47,0.217592597,5923.45166,15.4285717,9.781000137,0.92592591,643.50
Kern,General Shafter Elementary,KK-08,224,10,7.14289999,58.03570175,31,0.138392851,4741.957031,22.39999962,13.19200039,7.589285851,643.70
Stanislaus,Turlock Joint Elementary,KK-08,7887,391.8599854,16.40239906,57.07220078,1004,0.127298087,4954.019531,20.12708664,12.2159996,29.08583832,643.70
Tuolumne,Twain Harte-Long Barn Union Elementary,KK-08,752,39.5,11.71049976,34.07889938,0,0,5500.10791,19.03797531,14.07600021,0.132978722,64420
San Mateo,Redwood City Elementary,KK-08,9328,537.8800049,7.487500191,39.03680038,1719,0.184283882,5360.51709,17.34215736,25.4873333,50.85763168,644.20
El Dorado,Camino Union Elementary,KK-08,548,32.20000076,7.664199829,31.38689995,35,0.063868612,5685.63916,17.01863289,14.86699963,11.49635029,644.40
Merced,Plainsburg Union Elementary,KK-08,104,5,32.38100052,49.5237999,19,0.182692304,5594.196289,20.79999924,9.972000122,13.46153927,644.45
San Joaquin,Banta Elementary,KK-08,275,13,12.72729969,45.81819916,4,0.014545455,4692.566895,21.15384674,14.57800007,4.727272511,644.45
Fresno,Washington Colony Elementary,KK-08,443,24,14.22119999,69.97740173,52,0.117381491,5085.40625,18.45833397,7.385000229,21.44469452,644.50
Sacramento,Rio Linda Union Elementary,KK-06,10337,540.0499878,37.22689819,58.54539871,1268,0.12266615,5456.197266,19.14082146,12.34300041,12.35368061,644.55
Stanislaus,Chatom Union Elementary,KK-08,806,41.52999878,7.178800106,56.67509842,36,0.044665013,5105.179688,19.40765762,12.43133259,30.14888382,644.70
Merced,Merced River Union Elementary,KK-08,227,11.60000038,18.06170082,59.03079987,25,0.110132158,5519.677246,19.568964,14.90600014,15.85902977,644.95
Ventura,Hueneme Elementary,KK-08,8416,391.4200134,12.39900017,71.91210175,1333,0.158388779,5065.911133,21.50119972,12.66989994,43.75,645.10
Humboldt,Cuddeback Union Elementary,KK-08,149,8.5,19.46310043,59.0603981,30,0.201342285,5182.428223,17.52941132,10.33300018,0,645.25
Humboldt,Blue Lake Union Elementary,KK-08,220,13.39000034,19.1303997,52.1739006,48,0.218181819,5960.464355,16.43017197,11.97200012,0,645.55
San Diego,Lemon Grove Elementary,KK-08,4612,232.9700012,17.47610092,65.91500092,601,0.130312234,5124.836426,19.79653931,12.82699966,16.65221214,645.55
Lake,Upper Lake Union Elementary,KK-08,590,34.33000183,37.4367981,70.65769958,71,0.120338984,5655.133301,17.18613434,10.03999996,3.22033906,645.60
Humboldt,Peninsula Union Elementary,KK-08,133,7.550000191,25,72.14289856,25,0.187969923,5811.689941,17.61589432,13.33500004,0,645.75
Ventura,Ocean View Elementary,KK-08,2440,121.2399979,7.275899887,47.0298996,116,0.047540985,5467.673828,20.12537193,9.854000092,48.52458954,645.75
Tehama,Reeds Creek Elementary,KK-08,133,6,11.19400024,35.82089996,0,0,5213.089355,22.16666603,11.42599964,0.751879692,646.00
Sacramento,Arcohe Union Elementary,KK-08,519,26,16.76300049,37.95759964,65,0.125240847,4613.1875,19.96153831,15.13099957,1.92678237,646.20
San Joaquin,New Jerusalem Elementary,KK-08,222,11.65999985,7.589300156,40.625,30,0.135135129,4886.983887,19.0394516,14.57800007,13.51351261,646.35
Siskiyou,Dunsmuir Elementary,KK-08,285,18.71999931,26.64229965,76.27739716,36,0.126315787,6455.136719,15.22435951,10.26799965,0,646.40
Stanislaus,Stanislaus Union Elementary,KK-08,3129,147.9799957,26.16760063,55.7901001,471,0.150527328,5125.433105,21.1447506,15.59285736,16.71460533,646.50
Fresno,Kingsburg Joint Union Elementary,KK-08,2019,102.7799988,10.25259972,40.5646019,167,0.082714215,5193.692383,19.64389992,11.23799992,5.943536282,646.55
Orange,Buena Park Elementary,KK-08,5620,267,10.30949974,55.09389877,316,0.056227759,5002.838867,21.04868889,15.05137539,36.17437744,646.70
Orange,Westminster Elementary,KK-08,9775,484.5,13.04300022,62.50389862,1218,0.124603577,5337.625488,20.17543793,15.41317654,44.97186661,646.90
Kings,Island Union Elementary,KK-08,246,11.5,9.756099701,43.90240097,38,0.154471546,5161.202148,21.39130402,11.08100033,16.66666794,646.95
Tulare,Tulare City Elementary,KK-08,7210,360.3500061,26.62680054,68.85790253,800,0.110957004,5158.791992,20.00832558,10.09799957,15.18723965,647.05
San Diego,Chula Vista Elementary,KK-06,21338,1051.579956,13.22719955,45.99499893,2889,0.135392264,5123.474121,20.2913723,14.29829979,34.33779907,647.25
Shasta,Black Butte Union Elementary,KK-08,477,27,25.36689949,59.53879929,27,0.056603774,5782.543945,17.66666603,11.80300045,0,647.30
Merced,McSwain Union Elementary,KK-08,727,39.90000153,10.17879963,32.18709946,50,0.068775788,4842.60791,18.22055054,9.972000122,13.06739998,647.60
Sutter,Franklin Elementary,KK-08,374,18.45000076,6.684500217,7.486599922,46,0.122994654,4219.40625,20.27100182,15.4090004,4.278074741,647.60
San Diego,Escondido Union Elementary,KK-08,18255,903.7600098,11.22169971,58.53310013,2001,0.109613806,5081.169922,20.198946,15.2937994,39.5946312,648.00
Los Angeles,East Whittier City Elementary,KK-08,8787,410.9100037,10.02270031,32.48300171,1058,0.120405145,5144.993652,21.38424492,15.53292847,21.66837311,648.20
Kern,Rio Bravo-Greeley Union Elementary,KK-08,797,38,7.026299953,35.75910187,60,0.075282305,4674.298828,20.97368431,16.29299927,3.262233257,648.25
Sutter,Marcum-Illinois Union Elementary,KK-08,140,7,3.571399927,39.28570175,40,0.285714298,4830.326172,20,12.875,7.857142925,648.35
San Diego,Vallecitos Elementary,KK-08,235,13.69999981,6.808499813,67.23400116,51,0.217021272,5621.687988,17.15328407,16.62299919,39.57446671,648.70
San Bernardino,Victor Elementary,KK-06,8294,371.1000061,23.19750023,51.56740189,1295,0.15613696,4948.868164,22.3497715,12.54988289,10.12780285,648.95
Orange,Savanna Elementary,KK-06,2409,108.6600037,8.151499748,52.12020111,354,0.146948949,5100.975586,22.17007065,14.25857162,27.52179146,649.15
Sonoma,West Side Union Elementary,KK-06,150,8.25,3.225800037,23.22579956,16,0.106666669,5132.788574,18.18181801,18.32600021,14,649.30
Shasta,Enterprise Elementary,KK-08,3981,210,41.77339935,51.77090073,606,0.152223065,5358.51709,18.95714378,12.74914265,8.842000008,649.50
Tehama,Red Bluff Union Elementary,KK-08,2326,117.8000031,17.97509956,52.25230026,345,0.148323298,5149.186523,19.74533081,11.42599964,6.405846596,649.70
Tuolumne,Jamestown Elementary,KK-08,501,30.5,20.63489914,54.76190186,163,0.325349301,5373.206543,16.42622948,8.829999924,2.395209789,649.85
Siskiyou,Weed Union Elementary,KK-08,470,28.27000046,31.33049965,89.69960022,48,0.102127656,6485.166016,16.62539673,11.17599964,5.957447052,650.45
Humboldt,South Bay Union Elementary,KK-06,575,35.09999847,26.43479919,59.13040161,59,0.102608696,5504.025391,16.38176727,14.22799969,8.173913002,650.55
Contra Costa,Brentwood Union Elementary,KK-08,3519,175.3000031,5.54129982,29.78120041,789,0.224211425,5105.734375,20.07415771,15.02700043,15.45893669,650.60
Tuolumne,Summerville Elementary,KK-08,474,26.34000015,21.9958992,54.9897995,61,0.128691986,5634.730957,17.99544334,10.52099991,0,650.65
Placer,Ophir Elementary,KK-08,223,11.5,1.754400015,17.54389954,60,0.269058287,4980.294434,19.39130402,18.62599945,0,650.90
Sonoma,Montgomery Elementary,KK-08,92,5.599999905,13.54170036,0,22,0.239130437,6113.859863,16.4285717,22.52899933,0,650.90
Sonoma,Santa Rosa Elementary,KK-06,4971,297.1400146,14.70940018,55.10079956,500,0.100583382,5850,16.72948647,18.29838943,31.82458305,651.15
Stanislaus,Salida Union Elementary,KK-08,2617,107.1949997,8.368200302,32.36970139,226,0.086358428,4547.944824,24.41345215,11.88574982,12.80091667,651.20
Shasta,Shasta Union Elementary,KK-08,242,13.25,28.0991993,51.6529007,32,0.132231399,5011.840332,18.26415062,9.925999641,0,651.35
Humboldt,Fortuna Union Elementary,KK-08,780,41.15000153,16.5394001,50.76340103,75,0.096153848,5261.370605,18.95504189,14.19699955,3.846153975,651.40
